geo,Asphalt/concrete work,Driveway sealing,Gutter cleaning,Junk removal,Pressure washing,Soft washing,Tree service,Window cleaning
AK,0.0,-2.33,0.0,0.0,0.0,0.0,-9.84,-1.535
AL,0.0,0.0,10.711,22.623,2.466,0.0,-3.348,-1.387
AR,0.0,-6.14,44.565,43.199,15.053,0.0,-0.382,3.615
AZ,-26.687,-15.082,51.504,15.224,30.613,-7.251,3.983,14.61
CA,0.0,-40.171,11.43,7.947,15.145,121.96,0.5,6.435
CO,-26.889,0.0,23.92,7.977,29.34,1.559,5.059,8.857
CT,0.0,7.791,-0.381,6.009,52.04,0.0,-2.05,11.713
DE,-8.131,0.0,53.541,-27.271,-24.748,0.0,-4.121,-20.244
FL,0.0,-47.563,5.64,12.075,4.863,43.862,-1.358,6.806
GA,0.0,-15.082,5.751,6.086,1.348,29.894,-2.068,4.604
HI,-15.082,0.0,34.267,142.242,28.323,0.0,254.539,40.334
IA,0.0,0.0,19.093,35.841,79.431,0.0,-3.766,9.295
ID,38.8,0.0,32.236,100.843,24.729,0.0,-1.18,14.418
IL,17.76,-7.865,5.141,8.797,15.876,48.371,-4.216,6.551
IN,17.76,-13.527,9.656,8.427,11.019,0.0,-3.977,1.978
KS,0.0,0.0,9.838,-17.834,-25.319,0.0,-6.829,-2.339
KY,0.0,17.76,20.018,17.177,16.672,34.663,-1.489,36.778
LA,17.76,-15.082,-23.754,60.985,4.965,17.76,-7.102,16.337
MA,0.0,-2.924,1.391,7.433,20.292,-15.082,-3.46,7.91
MD,0.0,-41.32,25.76,11.705,34.469,2.386,1.291,31.739
ME,0.0,-26.585,0.0,57.502,71.705,0.0,-0.255,-26.482
MI,0.0,-32.577,4.002,12.537,20.616,19.828,-1.952,3.811
MN,0.0,56.787,40.688,10.676,48.18,29.887,4.045,5.732
MO,0.0,0.0,16.573,10.32,25.504,17.76,-1.372,9.985
MS,0.0,0.0,0.0,0.0,-4.673,-15.082,-4.258,-27.148
MT,17.76,0.0,17.76,36.966,17.76,0.0,-6.796,22.842
NC,0.0,-35.368,5.019,7.905,5.404,67.365,-3.478,7.841
ND,0.0,0.0,0.0,-15.082,0.0,0.0,8.356,17.76
NE,0.0,0.0,10.879,38.056,76.88,0.0,-0.44,20.473
NH,0.0,39.336,33.625,46.967,37.073,0.0,-6.433,38.421
NJ,0.0,-10.395,-0.255,8.089,25.55,61.87,-2.592,6.905
NM,38.62,0.0,-15.082,52.276,0.0,0.0,2.799,58.28
NV,0.0,-15.082,17.76,9.754,42.12,-15.082,6.302,10.772
NY,0.0,0.293,-14.998,15.746,9.405,79.593,3.847,2.902
OH,-0.504,1.094,4.442,7.595,11.194,32.027,-4.599,9.708
OK,0.0,0.0,50.843,51.667,24.494,17.76,-0.094,36.214
OR,0.0,0.0,7.041,12.795,17.665,-15.082,-1.202,12.508
PA,0.0,-12.47,7.782,8.919,12.201,-23.237,0.143,4.403
RI,0.0,17.465,66.85,16.327,0.0,0.0,-1.443,24.78
SC,0.0,17.76,9.473,17.065,5.069,17.76,-2.364,11.005
SD,0.0,0.0,17.76,0.0,17.76,-15.082,11.29,0.0
TN,0.0,-22.357,5.11,12.172,4.89,2.492,-0.399,9.905
TX,13.072,-29.094,8.558,13.299,7.364,87.089,1.545,9.497
UT,0.0,-4.551,48.429,62.562,103.55,-15.082,7.123,16.222
VA,0.0,-39.553,7.131,17.212,12.357,108.462,-1.184,8.855
VT,-5.426,0.0,-27.954,0.0,-15.082,0.0,-2.489,-15.082
WA,0.0,-15.082,16.932,2.114,14.657,17.76,-0.827,9.639
WI,0.0,-5.132,31.967,16.455,20.497,0.0,-1.553,4.778
WV,-27.088,0.0,0.0,0.0,38.462,0.0,-2.88,71.99
WY,-15.082,0.0,0.0,0.0,17.76,0.0,-10.584,17.76
